Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20260901;SXXP;STOXX Europe 600;EU0009658202;DE50TP;;OBCK.DE;OTTOBOCK;DE;EUR;XETRA;;1045;1039;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB005W;;AVON.L;AVON TECHNOLOGIES;GB;GBP;London SE;;1046;1046;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB9088;;HFG.L;HILTON FOOD GROUP;GB;GBP;London SE;;1047;1040;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;BE10B1;;KIPO.BR;KINEPOLIS GROUP;BE;EUR;Euronext Brussels;;1048;1070;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;016389;;JDW.L;WETHERSPOON (J.D.);GB;GBP;London SE;;1049;1050;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT204H;;ICOS.MI;INTERCOS;IT;EUR;Borsa Italiana;;1050;;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;FR90AP;;GNFT.PA;GENFIT;FR;EUR;Euronext Paris;;1051;;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;578446;;SZUG.DE;SUEDZUCKER;DE;EUR;XETRA;;1052;1071;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;FR704H;;DBV.PA;DBV TECHNOLOGIES;FR;EUR;Euronext Paris;;1053;1062;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE706J;;BOOZT.ST;BOOZT AB;SE;SEK;NASDAQ Stockholm;;1054;1015;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE107Z;;DWNG.DE;DEUTSCHE WOHNEN BR.SHS.;DE;EUR;XETRA;;1055;1013;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;568104;;CAIV.VI;CA IMMOBILIEN ANLAGEN;AT;EUR;Wiener Boerse AG;;1056;968;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB6074;;MTRO.L;METRO BANK HOLDINGS;GB;GBP;London SE;;1057;1024;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT10DP;;SFER.MI;SALVATORE FERRAGAMO;IT;EUR;Borsa Italiana;;1058;1011;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB5152;;GDWN.L;GOODWIN;GB;GBP;London SE;;1059;1053;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE50OZ;;DOMETIC.ST;DOMETIC GROUP AB;SE;SEK;NASDAQ Stockholm;;1060;1005;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT904O;;CEMI.MI;CEMENTIR HOLDING;IT;EUR;Borsa Italiana;;1061;1020;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;FR90CR;;VIRI.PA;VIRIDIEN;FR;EUR;Euronext Paris;;1062;1017;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;CH10IC;;KURN.S;KUROS BIOSCIENCES;CH;CHF;Six Swiss Exchange;;1063;990;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;B0M7KJ;;ETL.PA;EUTELSAT COMMUNICATION;FR;EUR;Euronext Paris;;1064;997;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB1822;;JSG.L;JOHNSON SERVICE GROUP;GB;GBP;London SE;;1065;1018;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE507I;;NORION.ST;NORION BANK;SE;SEK;NASDAQ Stockholm;;1066;1180;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE606I;;VITR.ST;VITROLIFE;SE;SEK;NASDAQ Stockholm;;1067;1069;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;NO00GR;;LINK.OL;LINK MOBILITY GROUP HOLDINGS A;NO;NOK;Oslo Bors;;1068;1044;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;424894;;LMDr.AT;LAMDA DEVELOPMENT;GR;EUR;ATHENS SE;;1069;;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE1462;;NA9n.DE;NAGARRO N;DE;EUR;XETRA;;1070;1082;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT005G;;SES.MI;SESA;IT;EUR;Borsa Italiana;;1071;1028;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;ES11BJ;;ANE.MC;CORPO. ACCIONA ENERG. RENOV.;ES;EUR;BME Exchange;;1072;1042;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE90P4;;KARNO.ST;KARNOV GROUP AB;SE;SEK;NASDAQ Stockholm;;1073;1087;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;PL101C;;GPW.WA;WARSAW STOCK EXCHANGE;PL;PLN;Warsaw SE;;1074;1036;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB12TN;;BLPU.L;BLOOMSBURY PBL.;GB;GBP;London SE;;1075;1067;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB00B2;;N91.L;NINETY ONE;GB;GBP;London SE;;1076;1047;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;456364;;MMKV.VI;MAYR MELNHOF KARTON;AT;EUR;Wiener Boerse AG;;1077;999;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;FR40BL;;CLARI.PA;CLARIANE;FR;EUR;Euronext Paris;;1078;1058;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE114X;;KSBG_p.DE;KSB PREFERENCE;DE;EUR;XETRA;;1079;1072;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;ES50BM;;CIRSA.MC;CIRSA ENTERPRISES SAU;ES;EUR;BME Exchange;;1080;1073;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;454625;;MMTP.PA;M6-METROPOLE TV;FR;EUR;Euronext Paris;;1081;1057;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE90AP;;XVIVO.ST;XVIVO PERFUSION;SE;SEK;NASDAQ Stockholm;;1082;1056;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE13YT;;TPEG.DE;PVA TEPLA;DE;EUR;XETRA;;1083;1034;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;CH90CE;;CMHC.S;COSMO;CH;CHF;Six Swiss Exchange;;1084;1030;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT702K;;BFF.MI;BFF BANK S.P.A.;IT;EUR;Borsa Italiana;;1085;1083;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;509233;;VOSG.DE;VOSSLOH;DE;EUR;XETRA;;1086;1078;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE3396;;VH2.DE;FRIEDRICH VORWERK GROUP;DE;EUR;XETRA;;1087;1102;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DK1244;;NTGNT.CO;NTG NORDIC TRANSPORT GROUP;DK;DKK;NASDAQ Copenhagen;;1088;1091;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB511Y;;HBX.MC;HBX GROUP INTERNATIONAL;GB;EUR;BME Exchange;;1089;1051;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE15LX;;TRUEb.ST;TRUECALLER B;SE;SEK;NASDAQ Stockholm;;1090;1120;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;B126KF;;ICAD.PA;ICADE;FR;EUR;Euronext Paris;;1091;1048;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE11NV;;STORYb.ST;STORYTEL B;SE;SEK;NASDAQ Stockholm;;1092;;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;CH131Y;;MOZN.S;MOBILEZONE HOLDING;CH;CHF;Six Swiss Exchange;;1093;1041;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE10H9;;EUZG.DE;ECKERT & ZIEGLER;DE;EUR;XETRA;;1094;1064;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT906Q;;MOL.MI;Moltiply Group;IT;EUR;Borsa Italiana;;1095;1081;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;445525;;PTSB.I;PERMANENT TSB GHG.;IE;EUR;Euronext Dublin;;1096;1074;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;PT402O;;CTT.LS;CTT CORREIOS DE PORTUGAL;PT;EUR;Euronext Lisbon;;1097;1089;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB50XT;;RPI.L;RASPBERRY PI HOLDINGS;GB;GBP;London SE;;1098;1010;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT13ZE;;LUVE.MI;LUVE;IT;EUR;Borsa Italiana;;1099;1085;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;B1FQQK;;VBKG.DE;VERBIO;DE;EUR;XETRA;;1100;1060;;;
